Model,Accuracy,Precision,Recall,F1 Score,Testing Time
Decision Tree,0.892683399775295,0.9155495774385727,0.892683399775295,0.895637068305103,0.3013424873352051
Random Forest,0.9043349815502364,0.9212364039338536,0.9043349815502364,0.9066928943890569,0.8604738712310791
XGBoost,0.899378924495697,0.9182548195613564,0.899378924495697,0.9019635241099502,0.4745676517486572
